Buy,Sell,Value
42,38,5579.51
42,39,3899.55
42,40,2867.24
42,41,2837.64
43,0,2318.20
43,1,2318.20
43,2,2318.20
43,3,2318.20
43,4,2318.20
43,5,2118.26
43,6,1590.77
43,7,1806.99
43,8,1354.44
43,9,1297.01
43,10,818.32
43,11,610.40
43,12,826.37
43,13,583.53
43,14,1611.09
43,15,956.38
43,16,864.27
43,17,1015.40
43,18,1282.76
43,19,1615.43
43,20,1909.44
43,21,2101.12
43,22,2193.08
43,23,3144.97
43,24,3223.98
43,25,4000.83
43,26,4631.68
43,27,4089.62
43,28,4508.33
43,29,3839.88
43,30,4992.66
43,31,6724.74
43,32,6792.02
43,33,6920.27
43,34,7075.62
43,35,6634.74
43,36,6966.51
43,37,9145.84
43,38,6392.87
43,39,4396.11
43,40,2806.54
43,41,2913.35
43,42,3057.81
44,0,2318.20
44,1,2318.20
44,2,2318.20
44,3,2318.20
44,4,2318.20
44,5,2816.13
44,6,2169.75
44,7,2434.70
44,8,1880.15
44,9,1808.77
44,10,1222.18
44,11,966.58
44,12,1312.39
44,13,1186.89
44,14,2622.75
44,15,1670.83
44,16,1540.10
44,17,1748.82
44,18,2115.05
44,19,2384.15
44,20,2768.77
44,21,3017.76
44,22,3138.05
44,23,4375.17
44,24,4477.32
44,25,5492.99
44,26,6300.83
44,27,5591.72
44,28,6134.54
44,29,5365.81
44,30,6892.30
44,31,7602.78
44,32,7677.63
44,33,7693.92
44,34,7629.56
44,35,7157.52
44,36,7512.41
44,37,9843.16
44,38,7034.47
44,39,5305.97
44,40,3762.40
44,41,3885.69
44,42,4063.28
44,43,3522.99
45,0,2148.15
45,1,2148.15
45,2,2148.15
45,3,2148.15
45,4,2148.15
45,5,2620.48
45,6,2007.33
45,7,2258.66
45,8,1676.65
45,9,1610.42
45,10,1065.49
45,11,828.08
45,12,1149.40
45,13,1032.89
45,14,2366.93
45,15,1453.39
45,16,1333.70
45,17,1525.29
45,18,1861.59
45,19,2108.68
45,20,2461.74
45,21,2690.37
45,22,2800.78
45,23,3936.68
45,24,4030.49
45,25,4962.77
45,26,5704.37
45,27,5053.66
45,28,5552.08
